"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
J9217,"Leuprolide acetate (for depot suspension), 7.5 mg",Eligard*,Leuprolide Acetate*,"$268,882,528","1,250,658","344,633","152,343",$214.99,$780.20,"$1,764.98","$251,324,033","1,224,835","336,112","147,713",$205.19,$747.74,"$1,701.43","$254,057,981","1,177,831","322,289","142,368",$215.70,$788.29,"$1,784.52","$276,860,093","1,213,761","333,122","146,130",$228.10,$831.11,"$1,894.62","$289,060,086","1,267,782","345,267","151,865",$228.00,$837.21,"$1,903.40",$232.32,-0.04%,1.48%
J2783,"Injection, rasburicase, 0.5 mg",Elitek,Rasburicase,"$5,458,548","27,241","1,244",753,$200.38,"$4,387.90","$7,249.07","$7,239,700","34,963","1,543",898,$207.07,"$4,691.96","$8,062.03","$7,431,318","34,901","1,562",967,$212.93,"$4,757.57","$7,684.92","$8,048,691","36,317","1,659","1,015",$221.62,"$4,851.53","$7,929.75","$9,965,377","41,802","1,855","1,214",$238.39,"$5,372.17","$8,208.71",$243.11,7.57%,4.44%
J9178,"Injection, epirubicin hcl, 2 mg",Ellence*,Epirubicin HCL*,"$572,633","349,715","6,356","2,171",$1.64,$90.09,$263.76,"$400,421","293,585","5,000","1,703",$1.36,$80.08,$235.13,"$181,101","139,469","2,475",751,$1.30,$73.17,$241.15,"$151,133","102,798","1,889",581,$1.47,$80.01,$260.13,"$110,801","80,174","1,467",445,$1.38,$75.53,$248.99,$1.39,-6.00%,-4.15%
J9263,"Injection, oxaliplatin, 0.5 mg",Eloxatin*,Oxaliplatin*,"$515,373,943","53,725,104","155,821","30,697",$9.59,"$3,307.47","$16,789.07","$84,752,751","52,231,567","150,532","29,991",$1.62,$563.02,"$2,825.94","$25,002,991","51,228,291","147,591","29,757",$0.49,$169.41,$840.24,"$27,481,836","52,361,276","150,370","30,434",$0.52,$182.76,$903.00,"$18,653,131","52,378,554","149,991","30,638",$0.36,$124.36,$608.82,$0.36,-32.15%,-56.11%
J1453,"Injection, fosaprepitant, 1 mg",Emend (J1453),Fosaprepitant Dimeglumine,"$51,396,685","30,211,149","188,928","49,413",$1.70,$272.04,"$1,040.14","$60,976,916","35,865,281","220,947","57,878",$1.70,$275.98,"$1,053.54","$69,023,962","40,732,617","248,563","64,340",$1.69,$277.69,"$1,072.80","$74,864,186","44,007,241","268,325","67,953",$1.70,$279.01,"$1,101.71","$83,510,158","46,989,209","286,781","71,950",$1.78,$291.20,"$1,160.67",$1.81,4.47%,1.10%
J8501,"Aprepitant, oral, 5 mg",Emend (J8501),Aprepitant,"$2,752,036","448,878","13,028","6,590",$6.13,$211.24,$417.61,"$1,935,727","298,126","10,263","5,267",$6.49,$188.61,$367.52,"$1,124,166","156,374","4,553","2,220",$7.19,$246.91,$506.38,"$1,021,788","120,233","2,857","1,028",$8.50,$357.64,$993.96,"$995,901","96,633","2,391",896,$10.31,$416.52,"$1,111.50",$10.59,21.27%,13.87%
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium*,Enoxaparin Sodium*,"$1,402,082","271,342","22,655","5,295",$5.17,$61.89,$264.79,"$690,112","241,173","19,946","5,009",$2.86,$34.60,$137.77,"$412,645","204,930","17,521","4,464",$2.01,$23.55,$92.44,"$258,391","169,924","14,200","3,781",$1.52,$18.20,$68.34,"$193,301","136,398","11,435","3,234",$1.42,$16.90,$59.77,$0.99,-6.80%,-27.63%
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate DIsodium,"$665,196","41,814","4,360","3,680",$15.91,$152.57,$180.76,"$747,952","49,310","5,111","4,225",$15.17,$146.34,$177.03,"$767,165","53,026","5,536","4,524",$14.47,$138.58,$169.58,"$795,069","58,984","6,115","4,979",$13.48,$130.02,$159.68,"$805,887","59,993","6,242","5,002",$13.43,$129.11,$161.11,$13.97,-0.34%,-4.14%
Q4131,"Epifix, per square centimeter","EpiFix, Per Square Centimeter**",,,,,,,,,"$3,843,498","19,060","3,254","1,225",$201.65,"$1,181.16","$3,137.55","$24,418,186","147,344","12,919","4,994",$165.72,"$1,890.10","$4,889.50","$18,916,753","94,581","13,671","3,838",$200.01,"$1,383.71","$4,928.80","$48,937,848","281,696","26,398","6,173",$173.73,"$1,853.85","$7,927.73",$178.70,-13.14%,-4.85%
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Epogen*,Epoetin Alfa*,"$295,824,812","30,555,848","851,573","113,768",$9.68,$347.39,"$2,600.25","$309,656,384","29,321,836","803,998","105,020",$10.56,$385.15,"$2,948.55","$303,746,246","27,028,980","732,091","95,842",$11.24,$414.90,"$3,169.24","$291,087,022","24,452,895","663,254","86,184",$11.90,$438.88,"$3,377.51","$291,453,660","23,845,557","638,623","79,892",$12.22,$456.38,"$3,648.10",$12.45,2.68%,6.00%
J1325,"Injection, epoprostenol, 0.5 mg",Epoprostenol Sodium*,Epoprostenol Sodium (Glycine)*,"$23,908,195","1,891,471","6,430",684,$12.64,"$3,718.23","$34,953.50","$22,665,274","1,812,494","6,181",665,$12.51,"$3,666.93","$34,083.12","$21,161,120","1,701,358","5,948",625,$12.44,"$3,557.69","$33,857.79","$20,014,586","1,609,176","7,003",616,$12.44,"$2,858.00","$32,491.21","$19,547,757","1,571,575","7,738",615,$12.44,"$2,526.20","$31,784.97",$15.50,0.00%,-0.40%
J9055,"Injection, cetuximab, 10 mg",Erbitux,Cetuximab,"$268,736,172","5,341,354","88,235","10,271",$50.31,"$3,045.69","$26,164.56","$261,116,487","5,071,919","81,284","9,678",$51.48,"$3,212.40","$26,980.42","$257,844,899","4,957,548","78,944","9,479",$52.01,"$3,266.17","$27,201.70","$244,451,770","4,661,948","72,552","8,807",$52.44,"$3,369.33","$27,756.53","$224,425,822","4,166,274","63,343","7,892",$53.87,"$3,543.02","$28,437.13",$54.94,2.73%,1.72%
J1364,"Injection, erythromycin lactobionate, per 500 mg",Erythrocin Lactobionate,Erythromycin Lactobionate,"$3,013",286,275,208,$10.53,$10.96,$14.48,"$6,212",381,359,299,$16.31,$17.30,$20.78,"$14,423",422,418,299,$34.18,$34.51,$48.24,"$235,836","4,985","1,231","1,034",$47.31,$191.58,$228.08,"$180,452","3,577","1,209",892,$50.45,$149.26,$202.30,$54.01,6.63%,47.93%
J1430,"Injection, ethanolamine oleate, 100 mg",Ethamolin,Ethanolamine Oleate,"$127,423",433,229,201,$294.28,$556.43,$633.95,"$57,904",197,93,88,$293.93,$622.63,$658.00,"$66,150",221,78,71,$299.32,$848.07,$931.69,"$43,157",134,56,53,$322.07,$770.67,$814.29,"$58,932",153,55,52,$385.18,"$1,071.49","$1,133.31",$404.09,19.59%,6.96%
J9181,"Injection, etoposide, 10 mg",Etopophos*,Etoposide Phosphate*,"$1,254,513","1,595,813","97,636","10,290",$0.79,$12.85,$121.92,"$1,081,047","1,476,960","89,459","9,478",$0.73,$12.08,$114.06,"$927,156","1,351,736","81,156","8,599",$0.69,$11.42,$107.82,"$804,259","1,267,879","76,358","7,969",$0.63,$10.53,$100.92,"$797,523","1,189,794","71,268","7,456",$0.67,$11.19,$106.96,$0.67,5.67%,-3.91%
J8560,"Etoposide; oral, 50 mg",Etoposide,Etoposide,"$3,116,018","78,475","3,352","1,204",$39.71,$929.60,"$2,588.06","$3,153,157","59,440","2,979","1,050",$53.05,"$1,058.46","$3,003.01","$3,234,198","56,966","2,938","1,023",$56.77,"$1,100.82","$3,161.48","$2,899,156","48,690","2,552",895,$59.54,"$1,136.03","$3,239.28","$2,951,889","44,245","2,329",776,$66.72,"$1,267.45","$3,803.98",$68.56,12.05%,13.85%
J7323,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose",Euflexxa,Hyaluronate Sodium,"$48,815,920","322,934","244,403","77,870",$151.16,$199.74,$626.89,"$59,992,530","391,858","295,108","92,835",$153.10,$203.29,$646.23,"$64,716,814","418,793","315,079","98,525",$154.53,$205.40,$656.86,"$63,498,951","425,924","319,241","98,694",$149.09,$198.91,$643.39,"$67,695,211","446,868","330,819","101,575",$151.49,$204.63,$666.46,$154.71,1.61%,0.05%
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,,,,,,,,"$1,079,555,056","1,118,258","518,836","108,470",$965.39,"$2,080.73","$9,952.57","$1,295,323,934","1,345,236","625,294","132,523",$962.90,"$2,071.54","$9,774.33","$1,813,747,550","1,883,734","866,843","180,041",$962.85,"$2,092.36","$10,074.08","$2,208,730,191","2,293,350","1,047,372","210,411",$963.10,"$2,108.83","$10,497.22",$980.49,0.03%,-0.08%
J0180,"Injection, agalsidase beta, 1 mg",Fabrazyme,Agalsidase Beta,"$31,992,622","230,818","2,780",314,$138.61,"$11,508.14","$101,887.33","$41,556,131","293,748","3,214",242,$141.47,"$12,929.72","$171,719.55","$47,119,705","321,354","3,413",269,$146.63,"$13,805.95","$175,166.19","$51,610,889","338,644","3,669",265,$152.40,"$14,066.75","$194,758.07","$57,636,642","363,795","3,967",273,$158.43,"$14,529.02","$211,123.23",$161.75,3.95%,3.40%
J9395,"Injection, fulvestrant, 25 mg",Faslodex,Fulvestrant,"$152,683,036","1,777,825","94,551","14,365",$85.88,"$1,614.82","$10,628.82","$163,533,764","1,862,045","96,427","14,420",$87.82,"$1,695.93","$11,340.76","$172,925,581","1,939,624","99,125","14,556",$89.15,"$1,744.52","$11,880.02","$186,417,959","2,054,955","103,833","15,251",$90.72,"$1,795.36","$12,223.33","$224,355,887","2,419,993","121,204","17,098",$92.71,"$1,851.06","$13,121.76",$94.37,2.20%,1.93%
J7198,"Anti-inhibitor, per i.u.",Feiba NF,Anti-Inhibitor Coagulant Comp.,"$43,429,354","1,779,250","1,121",90,$24.41,"$38,741.62","$482,548.38","$40,455,835","2,616,761",967,111,$15.46,"$41,836.44","$364,466.99","$41,545,140","1,119,689","1,041",126,$37.10,"$39,908.88","$329,723.33","$45,887,290","1,484,435","1,227",168,$30.91,"$37,397.95","$273,138.63","$51,123,354","1,342,693","1,287",160,$38.08,"$39,722.89","$319,520.96",$1.91,23.17%,11.76%
J3010,"Injection, fentanyl citrate, 0.1 mg",Fentanyl Citrate*,Fentanyl Citrate/PF*,"$1,629,218","2,702,642","129,823","69,208",$0.60,$12.55,$23.54,"$539,097","912,137","140,538","73,927",$0.59,$3.84,$7.29,"$291,063","508,978","141,819","74,285",$0.57,$2.05,$3.92,"$222,320","415,099","139,134","73,782",$0.54,$1.60,$3.01,"$246,138","491,767","139,823","75,453",$0.50,$1.76,$3.26,$0.48,-6.55%,-4.54%
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",Feraheme (Q0138),Ferumoxytol,"$27,834,508","43,761,486","83,112","37,377",$0.64,$334.90,$744.70,"$33,144,238","51,287,568","96,350","42,529",$0.65,$344.00,$779.33,"$39,773,652","56,093,385","103,463","45,903",$0.71,$384.42,$866.47,"$42,322,370","54,014,515","98,910","43,915",$0.78,$427.89,$963.73,"$46,920,565","56,071,646","102,528","45,109",$0.84,$457.64,"$1,040.16",$0.85,6.80%,7.10%
Q0139,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (for esrd on dialysis)",Feraheme (Q0139),Ferumoxytol,"$1,129,146","1,987,642","3,349","1,781",$0.57,$337.16,$634.00,"$1,153,147","2,101,409","3,732","2,017",$0.55,$308.99,$571.71,"$1,132,913","1,531,838","2,699","1,611",$0.74,$419.75,$703.24,"$932,109","1,188,144","2,273","1,386",$0.78,$410.08,$672.52,"$1,130,130","1,347,691","2,621","1,554",$0.84,$431.18,$727.24,$0.85,6.89%,10.23%
J2916,"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg",Ferrlecit*,Sodium Ferric Gluconat/Sucrose*,"$4,892,224","1,874,738","109,165","17,900",$2.61,$44.81,$273.31,"$2,469,094","1,574,662","96,253","15,845",$1.57,$25.65,$155.83,"$1,066,422","422,640","42,913","6,392",$2.52,$24.85,$166.84,"$836,748","322,837","32,963","5,100",$2.59,$25.38,$164.07,"$681,570","284,987","29,272","4,515",$2.39,$23.28,$150.96,$2.41,-7.73%,-2.16%
J9155,"Injection, degarelix, 1 mg",Firmagon,Degarelix Acetate,"$10,647,524","3,638,405","32,311","9,616",$2.93,$329.53,"$1,107.27","$12,385,813","4,037,808","36,182","10,525",$3.07,$342.32,"$1,176.80","$14,084,880","4,231,374","37,962","11,072",$3.33,$371.03,"$1,272.12","$15,775,430","4,571,476","40,890","11,884",$3.45,$385.80,"$1,327.45","$17,303,288","4,803,847","42,610","12,547",$3.60,$406.09,"$1,379.08",$3.67,4.38%,5.33%
J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg",Flebogamma Dif,Imm Glob G (Igg)/Sorb/Iga 0-50,"$76,408,996","2,217,901","26,502","4,620",$34.45,"$2,883.14","$16,538.74","$65,406,534","1,859,096","22,568","3,840",$35.18,"$2,898.20","$17,032.95","$68,107,879","1,860,147","21,461","3,619",$36.61,"$3,173.57","$18,819.53","$63,892,853","1,828,292","20,772","3,299",$34.95,"$3,075.91","$19,367.34","$68,069,249","1,814,830","20,338","3,034",$37.51,"$3,346.90","$22,435.48",$37.80,7.33%,2.15%
J7510,"Prednisolone oral, per 5 mg",Flo-Pred*,PrednIsolone Acetate*,"$1,124","43,054",956,272,$0.03,$1.18,$4.13,"$2,479","69,967","1,862",478,$0.04,$1.33,$5.19,"$5,939","56,579","1,729",437,$0.10,$3.43,$13.59,"$2,893","26,831",907,462,$0.11,$3.19,$6.26,"$7,376","61,659","1,338",377,$0.12,$5.51,$19.57,$0.12,10.96%,46.30%
J9200,"Injection, floxuridine, 500 mg",Floxuridine,Floxuridine,"$544,985","5,103",650,114,$106.80,$838.44,"$4,780.57","$394,399","3,603",544,127,$109.46,$725.00,"$3,105.51","$368,987","3,548",488,102,$104.00,$756.12,"$3,617.52","$291,209","3,799",623,115,$76.65,$467.43,"$2,532.25","$118,718","1,313",404,99,$90.42,$293.86,"$1,199.17",$46.53,17.96%,-4.08%
J9185,"Injection, fludarabine phosphate, 50 mg",Fludarabine Phosphate,Fludarabine Phosphate,"$2,975,166","34,004","24,191","3,174",$87.49,$122.99,$937.36,"$2,115,518","25,006","18,348","2,470",$84.60,$115.30,$856.48,"$1,167,256","15,561","11,179","1,505",$75.01,$104.42,$775.59,"$728,913","9,644","6,629",979,$75.58,$109.96,$744.55,"$239,443","3,728","3,192",393,$64.23,$75.01,$609.27,$65.57,-15.02%,-7.44%
J2680,"Injection, fluphenazine decanoate, up to 25 mg",Fluphenazine Decanoate,Fluphenazine Decanoate,"$286,000","28,650","14,486","2,085",$9.98,$19.74,$137.17,"$343,414","24,299","11,827","2,053",$14.13,$29.04,$167.27,"$339,139","19,297","9,663","1,504",$17.57,$35.10,$225.49,"$248,704","13,578","6,899","1,280",$18.32,$36.05,$194.30,"$158,768","9,533","5,106",966,$16.66,$31.09,$164.36,$21.93,-9.07%,13.65%
J9307,"Injection, pralatrexate, 1 mg",Folotyn,Pralatrexate,"$16,621,990","97,945","1,977",263,$169.71,"$8,407.68","$63,201.48","$16,309,101","90,499","1,759",201,$180.21,"$9,271.80","$81,139.81","$16,670,193","87,490","1,814",199,$190.54,"$9,189.74","$83,769.81","$17,653,864","86,111","1,756",202,$205.01,"$10,053.45","$87,395.37","$19,180,296","87,148","1,816",187,$220.09,"$10,561.84","$102,568.43",$225.62,7.35%,6.71%
J1645,"Injection, dalteparin sodium, per 2500 iu",Fragmin,"Dalteparin Sodium,porcine","$327,200","29,663","5,367",705,$11.03,$60.97,$464.11,"$156,370","13,837","2,953",259,$11.30,$52.95,$603.74,"$519,083","37,771","7,362",567,$13.74,$70.51,$915.49,"$327,380","24,879","4,658",421,$13.16,$70.28,$777.63,"$337,642","21,539","4,162",335,$15.68,$81.12,"$1,007.89",$15.73,19.13%,9.18%
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,"$77,851","113,571","67,079","32,552",$0.69,$1.16,$2.39,"$272,059","101,308","58,064","29,106",$2.69,$4.69,$9.35,"$402,609","101,419","57,051","28,817",$3.97,$7.06,$13.97,"$227,636","101,228","54,279","27,574",$2.25,$4.19,$8.26,"$293,031","99,207","53,075","27,055",$2.95,$5.52,$10.83,$3.09,31.35%,44.08%
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Fusilev*,Levoleucovorin Calcium*,"$80,199,917","45,230,493","69,952","11,372",$1.77,"$1,146.50","$7,052.40","$60,571,188","33,975,431","52,608","7,886",$1.78,"$1,151.37","$7,680.85","$55,958,655","32,779,286","49,232","6,552",$1.71,"$1,136.63","$8,540.70","$57,032,448","32,175,355","47,480","6,277",$1.77,"$1,201.19","$9,085.94","$38,880,179","31,068,921","44,746","5,948",$1.25,$868.91,"$6,536.68",$1.25,-29.40%,-8.34%
J0475,"Injection, baclofen, 10 mg",Gablofen (J0475)*,Baclofen*,"$29,085,837","154,481","34,794","10,858",$188.28,$835.94,"$2,678.75","$26,267,308","147,266","32,000","10,325",$178.37,$820.85,"$2,544.05","$25,726,915","149,759","32,402","10,451",$171.79,$793.99,"$2,461.67","$25,930,077","148,852","31,527","10,410",$174.20,$822.47,"$2,490.88","$27,363,217","150,965","31,337","10,094",$181.26,$873.19,"$2,710.84",$175.04,4.05%,-0.95%
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Gablofen (J0476)*,Baclofen*,"$273,723","3,925",647,607,$69.74,$423.06,$450.94,"$552,478","7,773",594,535,$71.08,$930.10,"$1,032.67","$582,355","9,394",639,545,$61.99,$911.35,"$1,068.54","$172,162","2,387",525,450,$72.12,$327.93,$382.58,"$65,865","5,598",524,443,$11.77,$125.70,$148.68,$76.94,-83.69%,-35.91%
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol,"$2,080,203","2,164,074","35,794","32,698",$0.96,$58.12,$63.62,"$2,239,649","5,341,777","77,298","69,309",$0.42,$28.97,$32.31,"$3,235,870","8,199,682","117,014","103,663",$0.39,$27.65,$31.22,"$4,041,553","10,544,575","148,368","130,354",$0.38,$27.24,$31.00,"$4,537,466","12,114,646","164,474","144,057",$0.37,$27.59,$31.50,$0.39,-2.28%,-20.99%
J1460,"Injection, gamma globulin, intramuscular, 1 cc",Gamastan S-D (J1460),Immune Globul G (Igg)/Glycine,"$69,340","3,146","1,264",352,$22.04,$54.86,$196.99,"$90,129","3,871","1,380",425,$23.28,$65.31,$212.07,"$103,955","4,087","1,435",342,$25.44,$72.44,$303.96,"$90,918","3,297","1,180",187,$27.58,$77.05,$486.19,"$112,910","3,599","1,111",187,$31.38,$101.63,$603.80,$34.26,13.78%,9.23%
J1560,"Injection, gamma globulin, intramuscular, over 10 cc",Gamastan S-D (J1560),Immune Globul G (Igg)/Glycine,"$17,318",77,11,,$224.90,"$1,574.33",,"$13,070",142,48,20,$92.05,$272.30,$653.52,"$39,132",158,54,12,$247.67,$724.68,"$3,261.04","$11,647",62,62,,$187.85,$187.85,,"$12,749",65,64,15,$196.13,$199.20,$849.91,$342.61,4.41%,-3.36%
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,"$217,836,223","5,620,711","72,892","11,745",$38.76,"$2,988.48","$18,547.15","$221,747,164","5,709,821","73,150","11,286",$38.84,"$3,031.40","$19,647.99","$253,620,046","6,377,113","81,030","12,144",$39.77,"$3,129.95","$20,884.39","$264,869,076","6,707,900","82,975","11,727",$39.49,"$3,192.16","$22,586.26","$282,939,575","7,143,493","86,554","12,029",$39.61,"$3,268.94","$23,521.45",$39.23,0.31%,0.55%
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Gammaked*,Immune Globul G/Gly/Iga Avg 46*,"$198,652,391","5,282,237","59,943","8,780",$37.61,"$3,314.02","$22,625.56","$216,718,744","5,621,417","64,554","9,303",$38.55,"$3,357.17","$23,295.58","$246,043,363","6,249,256","69,705","9,583",$39.37,"$3,529.78","$25,674.98","$289,143,294","7,319,906","79,891","10,502",$39.50,"$3,619.22","$27,532.21","$299,752,135","7,466,517","82,146","10,838",$40.15,"$3,649.02","$27,657.51",$40.25,1.63%,1.65%
J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg",Gammaplex,Immun Glob G/Sorb/Gly/Iga 0-50,"$2,988,018","81,533",970,203,$36.65,"$3,080.43","$14,719.30","$4,497,712","122,443","1,617",292,$36.73,"$2,781.52","$15,403.12","$10,283,790","276,687","3,812",732,$37.17,"$2,697.74","$14,048.89","$9,501,868","264,428","3,757",590,$35.93,"$2,529.11","$16,104.86","$17,907,355","492,969","6,863","1,325",$36.33,"$2,609.26","$13,514.98",$37.14,1.09%,-0.22%
Q9963,"High osmolar contrast material, 350-399 mg/ml iodine concentration, per ml",Gastrografin*,Diatrizoate Meglu/Diatrizo Sod*,"$36,624","184,178","4,084","2,948",$0.20,$8.97,$12.42,"$21,297","92,529","2,452","1,745",$0.23,$8.69,$12.20,"$13,262","72,668","2,178","1,645",$0.18,$6.09,$8.06,"$12,664","65,915","2,045","1,635",$0.19,$6.19,$7.75,"$12,457","63,212","1,919","1,565",$0.20,$6.49,$7.96,$0.19,2.57%,-0.23%
J9301,"Injection, obinutuzumab, 10 mg",Gazyva,Obinutuzumab,,,,,,,,,,,,,,,,,,,,,,"$42,906,601","805,613","8,310","1,724",$53.26,"$5,163.25","$24,887.82","$61,059,456","1,117,344","11,557","2,374",$54.65,"$5,283.33","$25,720.07",$55.76,2.61%,2.61%
J7326,"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose","Gel-One,Intra-Articular Injection**",,"$1,106,436","2,358","1,370","1,198",$469.23,$807.62,$923.57,"$9,989,348","29,578","13,102","11,928",$337.73,$762.43,$837.47,"$15,160,500","27,332","21,571","18,905",$554.68,$702.82,$801.93,"$18,826,145","33,849","26,496","22,986",$556.18,$710.53,$819.03,"$23,963,494","41,912","32,555","27,827",$571.75,$736.09,$861.16,$583.31,2.80%,5.06%
J9201,"Injection, gemcitabine hydrochloride, 200 mg",Gemcitabine HCL*,Gemcitabine HCL*,"$76,237,740","2,431,748","276,296","44,796",$31.35,$275.93,"$1,701.89","$19,026,258","2,372,731","264,975","42,998",$8.02,$71.80,$442.49,"$8,523,009","1,257,361","160,320","22,456",$6.78,$53.16,$379.54,"$8,844,547","1,105,502","140,653","20,028",$8.00,$62.88,$441.61,"$7,697,558","1,034,240","130,461","18,604",$7.44,$59.00,$413.76,$7.54,-6.97%,-30.20%
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate*,Gentamicin Sulfate*,"$228,781","185,365","121,887","77,931",$1.23,$1.88,$2.94,"$223,960","192,142","129,507","82,999",$1.17,$1.73,$2.70,"$224,988","175,399","124,156","79,028",$1.28,$1.81,$2.85,"$250,315","180,676","127,419","81,342",$1.39,$1.96,$3.08,"$231,309","175,794","127,563","81,530",$1.32,$1.81,$2.84,$1.33,-5.03%,1.61%
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia,Alpha-1-Proteinase Inhibitor,"$2,949,364","766,461",975,61,$3.85,"$3,024.99","$48,350.23","$3,593,958","916,710","1,176",67,$3.92,"$3,056.09","$53,641.17","$4,163,553","1,064,765","1,332",79,$3.91,"$3,125.79","$52,703.20","$5,884,098","1,471,305","1,769",118,$4.00,"$3,326.23","$49,865.24","$8,367,699","1,984,787","2,483",143,$4.22,"$3,370.00","$58,515.38",$4.32,5.42%,2.31%
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagen*,"Glucagon,human Recombinant*","$6,706,840","61,855","55,075","51,676",$108.43,$121.78,$129.79,"$7,623,514","64,025","56,802","53,482",$119.07,$134.21,$142.54,"$8,628,803","63,753","56,516","53,183",$135.35,$152.68,$162.25,"$10,403,803","61,800","53,826","51,228",$168.35,$193.29,$203.09,"$12,188,563","62,959","55,254","52,499",$193.60,$220.59,$232.17,$198.49,15.00%,15.59%
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL (J1626)*,Granisetron HCL*,"$1,780,841","2,601,706","260,630","38,758",$0.68,$6.83,$45.95,"$1,363,770","2,456,153","245,813","34,033",$0.56,$5.55,$40.07,"$851,322","2,141,642","214,628","30,164",$0.40,$3.97,$28.22,"$1,022,857","2,041,196","204,515","28,363",$0.50,$5.00,$36.06,"$690,967","2,020,340","201,452","27,880",$0.34,$3.43,$24.78,$0.35,-31.75%,-15.93%
